ts,event,agent_id,age,role,subpop,risk_score,access_level,clinic_id,dose_num,status
0.2,ELIGIBLE,63.0,30.0,teacher,C,6.344198050320674,1.0,-1,1,eligible
0.2,ELIGIBLE,64.0,22.0,teacher,C,4.752149574202157,3.0,-1,1,eligible
0.2,ELIGIBLE,65.0,73.0,other,A,6.80491144393556,2.0,-1,1,eligible
0.2,ELIGIBLE,66.0,36.0,teacher,C,3.8844399889075096,1.0,-1,1,eligible
0.2,ELIGIBLE,67.0,74.0,other,A,9.506455930389725,2.0,-1,1,eligible
0.2,ELIGIBLE,69.0,44.0,healthcare,B,7.198435721016149,3.0,-1,1,eligible
0.2,ELIGIBLE,72.0,41.0,teacher,C,4.387388667571393,3.0,-1,1,eligible
0.2,ELIGIBLE,73.0,45.0,teacher,C,6.650210352138361,3.0,-1,1,eligible
0.2,ELIGIBLE,74.0,65.0,other,A,6.75259342919093,2.0,-1,1,eligible
0.2,ELIGIBLE,75.0,40.0,healthcare,B,10.0,1.0,-1,1,eligible
0.2,ELIGIBLE,76.0,43.0,healthcare,B,6.920005872488454,1.0,-1,1,eligible
0.2,ELIGIBLE,79.0,29.0,teacher,C,5.322347165162497,3.0,-1,1,eligible
0.2,ELIGIBLE,80.0,69.0,other,A,9.539720178148706,3.0,-1,1,eligible
0.2,ELIGIBLE,81.0,43.0,teacher,C,6.77131787258173,1.0,-1,1,eligible
0.2,ELIGIBLE,82.0,48.0,healthcare,B,4.348593564759614,3.0,-1,1,eligible
0.2,ELIGIBLE,83.0,42.0,healthcare,B,7.492366344841138,3.0,-1,1,eligible
0.2,ELIGIBLE,85.0,39.0,teacher,C,3.607706182853242,3.0,-1,1,eligible
0.2,ELIGIBLE,86.0,37.0,healthcare,B,6.96834750941907,1.0,-1,1,eligible
0.2,ELIGIBLE,88.0,67.0,other,A,10.0,2.0,-1,1,eligible
0.2,ELIGIBLE,89.0,44.0,healthcare,B,9.128116751894765,3.0,-1,1,eligible
0.2,ELIGIBLE,90.0,22.0,teacher,C,5.6517256556393995,1.0,-1,1,eligible
0.2,ELIGIBLE,92.0,26.0,healthcare,B,7.676404872572639,3.0,-1,1,eligible
0.2,ELIGIBLE,94.0,29.0,healthcare,B,7.145454466493396,1.0,-1,1,eligible
0.2,ELIGIBLE,97.0,30.0,healthcare,B,5.685677730258721,3.0,-1,1,eligible
0.2,ELIGIBLE,98.0,71.0,other,A,9.248311506722313,2.0,-1,1,eligible
0.2,ELIGIBLE,100.0,31.0,healthcare,B,7.330255761787137,3.0,-1,1,eligible
0.2,ELIGIBLE,103.0,74.0,other,A,8.745723257492429,2.0,-1,1,eligible
0.2,ELIGIBLE,106.0,33.0,teacher,C,4.38625342748736,3.0,-1,1,eligible
0.2,ELIGIBLE,107.0,39.0,healthcare,B,5.138612006790024,1.0,-1,1,eligible
0.2,ELIGIBLE,108.0,31.0,teacher,C,4.961798114012366,1.0,-1,1,eligible
0.2,ELIGIBLE,109.0,43.0,healthcare,B,9.758076370374212,3.0,-1,1,eligible
0.2,ELIGIBLE,110.0,73.0,other,A,8.675220584469855,2.0,-1,1,eligible
0.2,ELIGIBLE,111.0,40.0,healthcare,B,8.885559474002132,1.0,-1,1,eligible
0.2,ELIGIBLE,112.0,73.0,other,A,9.782765002967333,1.0,-1,1,eligible
0.2,ELIGIBLE,113.0,34.0,teacher,C,5.7554097223406675,3.0,-1,1,eligible
0.2,ELIGIBLE,114.0,67.0,other,A,8.145535946448085,1.0,-1,1,eligible
0.2,ELIGIBLE,115.0,22.0,healthcare,B,7.607113298498571,3.0,-1,1,eligible
0.2,ELIGIBLE,116.0,22.0,healthcare,B,7.176233602251701,3.0,-1,1,eligible
0.2,ELIGIBLE,117.0,39.0,healthcare,B,7.958122533514799,1.0,-1,1,eligible
0.2,ELIGIBLE,118.0,73.0,other,A,10.0,1.0,-1,1,eligible
0.2,ELIGIBLE,119.0,42.0,teacher,C,6.44323239645916,3.0,-1,1,eligible
0.2,ELIGIBLE,121.0,67.0,other,A,8.62276168275415,3.0,-1,1,eligible
0.2,ELIGIBLE,122.0,70.0,other,A,8.300331108123641,2.0,-1,1,eligible
0.2,ELIGIBLE,126.0,74.0,other,A,7.922801770289795,1.0,-1,1,eligible
0.2,ELIGIBLE,129.0,49.0,healthcare,B,8.691852484985427,3.0,-1,1,eligible
0.2,ELIGIBLE,130.0,22.0,teacher,C,4.687516952625439,3.0,-1,1,eligible
0.2,ELIGIBLE,131.0,66.0,other,A,10.0,3.0,-1,1,eligible
0.2,ELIGIBLE,132.0,30.0,teacher,C,5.357562171811772,1.0,-1,1,eligible
0.2,ELIGIBLE,133.0,39.0,teacher,C,6.305660982045125,1.0,-1,1,eligible
0.2,ELIGIBLE,136.0,44.0,healthcare,B,3.9477897539339093,3.0,-1,1,eligible
0.2,ELIGIBLE,137.0,77.0,other,A,5.457380689271374,2.0,-1,1,eligible
0.2,ELIGIBLE,138.0,40.0,healthcare,B,9.014431836752918,3.0,-1,1,eligible
0.2,ELIGIBLE,139.0,47.0,healthcare,B,4.874955600797202,3.0,-1,1,eligible
0.2,ELIGIBLE,141.0,69.0,other,A,7.063296197424867,2.0,-1,1,eligible
0.2,ELIGIBLE,142.0,50.0,teacher,C,4.751559210890722,1.0,-1,1,eligible
0.2,ELIGIBLE,143.0,34.0,healthcare,B,4.836006608225388,3.0,-1,1,eligible
0.2,ELIGIBLE,144.0,33.0,healthcare,B,4.45656775718059,1.0,-1,1,eligible
0.2,ELIGIBLE,145.0,22.0,teacher,C,8.371695170271968,1.0,-1,1,eligible
0.2,ELIGIBLE,146.0,26.0,teacher,C,3.9413432538603113,1.0,-1,1,eligible
0.2,ELIGIBLE,147.0,65.0,other,A,8.414981969705426,1.0,-1,1,eligible
0.2,ELIGIBLE,148.0,22.0,teacher,C,4.4553080773543,3.0,-1,1,eligible
0.2,ELIGIBLE,149.0,51.0,teacher,C,6.47816858743792,3.0,-1,1,eligible
0.2,ELIGIBLE,152.0,85.0,other,A,7.792552299253439,3.0,-1,1,eligible
0.2,ELIGIBLE,153.0,69.0,other,A,9.40079809452451,1.0,-1,1,eligible
0.2,ELIGIBLE,154.0,34.0,teacher,C,6.332378809308932,1.0,-1,1,eligible
0.2,ELIGIBLE,155.0,73.0,other,A,6.55704023288597,2.0,-1,1,eligible
0.2,ELIGIBLE,156.0,42.0,teacher,C,5.53842885085864,1.0,-1,1,eligible
0.2,ELIGIBLE,157.0,47.0,teacher,C,3.9105334603145394,3.0,-1,1,eligible
0.2,ELIGIBLE,158.0,40.0,teacher,C,5.89993527955308,3.0,-1,1,eligible
0.2,ELIGIBLE,160.0,29.0,healthcare,B,7.054944714695597,3.0,-1,1,eligible
0.2,ELIGIBLE,161.0,24.0,teacher,C,3.6318769892903613,3.0,-1,1,eligible
0.2,ELIGIBLE,162.0,38.0,healthcare,B,5.3374529559138795,1.0,-1,1,eligible
0.2,ELIGIBLE,164.0,34.0,healthcare,B,6.644272349952478,1.0,-1,1,eligible
0.2,ELIGIBLE,165.0,46.0,teacher,C,6.970124415155563,3.0,-1,1,eligible
0.2,ELIGIBLE,166.0,75.0,other,A,10.0,3.0,-1,1,eligible
0.2,ELIGIBLE,168.0,39.0,teacher,C,5.153375307597916,3.0,-1,1,eligible
0.2,ELIGIBLE,169.0,49.0,healthcare,B,4.049317747223643,1.0,-1,1,eligible
0.2,ELIGIBLE,170.0,50.0,teacher,C,4.1089758714909,3.0,-1,1,eligible
0.2,ELIGIBLE,172.0,22.0,teacher,C,8.450898228842025,1.0,-1,1,eligible
0.2,ELIGIBLE,173.0,39.0,teacher,C,4.341253692587996,1.0,-1,1,eligible
0.2,ELIGIBLE,177.0,72.0,other,A,7.391584390176561,2.0,-1,1,eligible
0.2,ELIGIBLE,178.0,31.0,healthcare,B,5.622499884048179,1.0,-1,1,eligible
0.2,ELIGIBLE,179.0,35.0,healthcare,B,9.134308698170516,1.0,-1,1,eligible
0.2,ELIGIBLE,181.0,86.0,other,A,9.493582632247819,2.0,-1,1,eligible
0.2,ELIGIBLE,182.0,71.0,other,A,8.441420679870784,2.0,-1,1,eligible
0.2,ELIGIBLE,183.0,57.0,teacher,C,6.916220602669133,3.0,-1,1,eligible
0.2,ELIGIBLE,184.0,29.0,healthcare,B,7.0454456659946185,1.0,-1,1,eligible
0.2,ELIGIBLE,185.0,39.0,teacher,C,6.323491149266585,1.0,-1,1,eligible
0.2,ELIGIBLE,186.0,70.0,other,A,7.719692946069496,2.0,-1,1,eligible
0.2,ELIGIBLE,187.0,33.0,healthcare,B,5.53156184289932,3.0,-1,1,eligible
0.2,ELIGIBLE,188.0,37.0,teacher,C,6.952672523603738,3.0,-1,1,eligible
0.2,ELIGIBLE,190.0,83.0,other,A,8.975616568114843,1.0,-1,1,eligible
0.2,ELIGIBLE,192.0,43.0,healthcare,B,5.459545075032614,1.0,-1,1,eligible
0.2,ELIGIBLE,194.0,67.0,other,A,6.7587126063991665,3.0,-1,1,eligible
0.2,ELIGIBLE,195.0,48.0,teacher,C,6.5303771286578725,1.0,-1,1,eligible
0.2,ELIGIBLE,196.0,73.0,other,A,5.21520739821166,3.0,-1,1,eligible
0.2,ELIGIBLE,197.0,45.0,teacher,C,6.363449140862062,3.0,-1,1,eligible
0.2,ELIGIBLE,198.0,38.0,healthcare,B,6.249909336738511,3.0,-1,1,eligible
0.2,ELIGIBLE,199.0,70.0,other,A,9.03068281582547,3.0,-1,1,eligible
0.2,ELIGIBLE,200.0,42.0,healthcare,B,4.513125354737641,3.0,-1,1,eligible
0.2,ELIGIBLE,201.0,69.0,other,A,8.892926871854822,3.0,-1,1,eligible
0.2,ELIGIBLE,203.0,26.0,teacher,C,6.095763280862375,1.0,-1,1,eligible
0.2,ELIGIBLE,204.0,27.0,teacher,C,4.290984775156132,1.0,-1,1,eligible
0.2,ELIGIBLE,205.0,62.0,healthcare,B,7.788418529902321,3.0,-1,1,eligible
0.2,ELIGIBLE,208.0,26.0,teacher,C,6.851653868824579,1.0,-1,1,eligible
0.2,ELIGIBLE,209.0,65.0,other,A,9.625749040363933,2.0,-1,1,eligible
0.2,ELIGIBLE,210.0,35.0,teacher,C,4.482657958666638,1.0,-1,1,eligible
0.2,ELIGIBLE,211.0,63.0,healthcare,B,5.369375291649644,1.0,-1,1,eligible
0.2,ELIGIBLE,212.0,38.0,healthcare,B,8.193625578111133,3.0,-1,1,eligible
0.2,ELIGIBLE,214.0,43.0,healthcare,B,5.8033595834360785,1.0,-1,1,eligible
0.2,ELIGIBLE,215.0,37.0,healthcare,B,6.483034011980679,3.0,-1,1,eligible
0.2,ELIGIBLE,216.0,66.0,other,A,8.105082188256,3.0,-1,1,eligible
0.2,ELIGIBLE,217.0,71.0,other,A,6.386804047778822,2.0,-1,1,eligible
0.2,ELIGIBLE,218.0,51.0,teacher,C,3.862624806765331,1.0,-1,1,eligible
0.2,ELIGIBLE,219.0,70.0,other,A,6.567868816492414,1.0,-1,1,eligible
0.2,ELIGIBLE,221.0,41.0,teacher,C,5.083309717154603,1.0,-1,1,eligible
0.2,ELIGIBLE,222.0,65.0,other,A,10.0,1.0,-1,1,eligible
0.2,ELIGIBLE,223.0,31.0,teacher,C,3.759112654760526,3.0,-1,1,eligible
0.2,ELIGIBLE,225.0,70.0,other,A,8.6375127328631,3.0,-1,1,eligible
0.2,ELIGIBLE,226.0,31.0,healthcare,B,7.890256049315659,3.0,-1,1,eligible
0.2,ELIGIBLE,229.0,76.0,other,A,7.387461840547653,2.0,-1,1,eligible
0.2,ELIGIBLE,230.0,84.0,other,A,8.948209485517525,1.0,-1,1,eligible
0.2,ELIGIBLE,232.0,76.0,other,A,7.862048978397361,3.0,-1,1,eligible
0.2,ELIGIBLE,233.0,36.0,teacher,C,5.280296116475088,1.0,-1,1,eligible
0.2,ELIGIBLE,234.0,40.0,teacher,C,3.3204555387972325,3.0,-1,1,eligible
0.2,ELIGIBLE,235.0,78.0,other,A,6.549613689134898,2.0,-1,1,eligible
0.2,ELIGIBLE,236.0,78.0,other,A,8.838910902637915,2.0,-1,1,eligible
0.2,ELIGIBLE,237.0,22.0,teacher,C,4.030573427604554,3.0,-1,1,eligible
0.2,ELIGIBLE,238.0,22.0,healthcare,B,6.423698890756714,3.0,-1,1,eligible
0.2,ELIGIBLE,241.0,38.0,healthcare,B,5.246410812499763,3.0,-1,1,eligible
0.2,ELIGIBLE,242.0,33.0,teacher,C,5.03788252368671,3.0,-1,1,eligible
0.2,ELIGIBLE,243.0,33.0,healthcare,B,9.602824199363692,3.0,-1,1,eligible
0.2,ELIGIBLE,244.0,85.0,other,A,5.998466922117156,1.0,-1,1,eligible
0.2,ELIGIBLE,245.0,43.0,healthcare,B,7.790468367420771,1.0,-1,1,eligible
0.2,ELIGIBLE,249.0,52.0,teacher,C,6.050562593207787,3.0,-1,1,eligible
0.2,ELIGIBLE,252.0,25.0,teacher,C,7.92245675150579,3.0,-1,1,eligible
0.2,ELIGIBLE,253.0,52.0,healthcare,B,7.800265457720981,3.0,-1,1,eligible
0.2,ELIGIBLE,254.0,73.0,other,A,9.995835839803298,2.0,-1,1,eligible
0.2,ELIGIBLE,255.0,31.0,teacher,C,4.457989182524485,3.0,-1,1,eligible
0.2,ELIGIBLE,256.0,38.0,teacher,C,4.091382624404372,3.0,-1,1,eligible
0.2,ELIGIBLE,259.0,73.0,other,A,8.401549252160157,1.0,-1,1,eligible
0.2,ELIGIBLE,260.0,49.0,healthcare,B,3.517119577859793,1.0,-1,1,eligible
0.2,ELIGIBLE,262.0,37.0,teacher,C,5.2862982929681275,2.0,-1,1,eligible
0.2,ELIGIBLE,263.0,67.0,other,A,9.033545605569909,2.0,-1,1,eligible
0.2,ELIGIBLE,264.0,40.0,healthcare,B,6.901437561799613,1.0,-1,1,eligible
0.2,ELIGIBLE,265.0,76.0,other,A,8.011912494375848,2.0,-1,1,eligible
0.2,ELIGIBLE,266.0,65.0,other,A,8.730992422594465,2.0,-1,1,eligible
0.2,ELIGIBLE,267.0,73.0,other,A,6.157670745184648,2.0,-1,1,eligible
0.2,ELIGIBLE,271.0,53.0,healthcare,B,6.024062422653151,1.0,-1,1,eligible
0.2,ELIGIBLE,272.0,80.0,other,A,5.779673027149098,1.0,-1,1,eligible
0.2,ELIGIBLE,273.0,54.0,healthcare,B,5.804627086177883,3.0,-1,1,eligible
0.2,ELIGIBLE,274.0,58.0,healthcare,B,7.573922222986129,3.0,-1,1,eligible
0.2,ELIGIBLE,275.0,70.0,other,A,9.710313040987664,2.0,-1,1,eligible
0.2,ELIGIBLE,276.0,44.0,healthcare,B,6.491599790950757,1.0,-1,1,eligible
0.2,ELIGIBLE,278.0,40.0,teacher,C,6.8267177047422996,2.0,-1,1,eligible
0.2,ELIGIBLE,279.0,69.0,other,A,9.03117778501576,2.0,-1,1,eligible
0.2,ELIGIBLE,280.0,25.0,teacher,C,3.8243120133472748,3.0,-1,1,eligible
0.2,ELIGIBLE,281.0,80.0,other,A,8.740005408781887,1.0,-1,1,eligible
0.2,ELIGIBLE,282.0,72.0,other,A,7.251419091029759,2.0,-1,1,eligible
0.2,ELIGIBLE,283.0,60.0,teacher,C,6.5491923097162035,1.0,-1,1,eligible
0.2,ELIGIBLE,285.0,55.0,teacher,C,3.981553857249637,1.0,-1,1,eligible
0.2,ELIGIBLE,286.0,32.0,teacher,C,4.565698569986888,3.0,-1,1,eligible
0.2,ELIGIBLE,288.0,22.0,teacher,C,5.143590008278527,1.0,-1,1,eligible
0.2,ELIGIBLE,290.0,38.0,healthcare,B,7.385074182925416,3.0,-1,1,eligible
0.2,ELIGIBLE,292.0,27.0,healthcare,B,4.7616010138702265,3.0,-1,1,eligible
0.2,ELIGIBLE,293.0,41.0,teacher,C,8.021640526553464,1.0,-1,1,eligible
0.2,ELIGIBLE,294.0,78.0,other,A,9.31298165034728,3.0,-1,1,eligible
0.2,ELIGIBLE,295.0,33.0,teacher,C,5.629420436868063,2.0,-1,1,eligible
0.2,ELIGIBLE,296.0,32.0,teacher,C,8.719345528351221,1.0,-1,1,eligible
0.2,ELIGIBLE,297.0,51.0,teacher,C,6.090978600369216,2.0,-1,1,eligible
0.2,ELIGIBLE,298.0,69.0,other,A,7.817172227225005,2.0,-1,1,eligible
0.2,ELIGIBLE,299.0,30.0,healthcare,B,4.433965236196142,3.0,-1,1,eligible
0.2,ELIGIBLE,300.0,66.0,other,A,8.182283978975457,3.0,-1,1,eligible
0.2,ELIGIBLE,301.0,37.0,teacher,C,4.3248257087044735,2.0,-1,1,eligible
0.2,ELIGIBLE,302.0,73.0,other,A,9.808802874371798,2.0,-1,1,eligible
0.2,ELIGIBLE,306.0,25.0,healthcare,B,6.921698728613098,1.0,-1,1,eligible
0.2,ELIGIBLE,307.0,28.0,healthcare,B,4.679298159711382,1.0,-1,1,eligible
0.2,ELIGIBLE,308.0,43.0,healthcare,B,8.166464926064966,1.0,-1,1,eligible
0.2,ELIGIBLE,310.0,38.0,healthcare,B,7.132773025867197,1.0,-1,1,eligible
0.2,ELIGIBLE,311.0,46.0,teacher,C,6.9449622926620656,3.0,-1,1,eligible
0.2,ELIGIBLE,315.0,35.0,teacher,C,5.752749937360487,3.0,-1,1,eligible
0.2,ELIGIBLE,316.0,22.0,healthcare,B,5.90604878617974,1.0,-1,1,eligible
0.2,ELIGIBLE,317.0,44.0,teacher,C,6.517982371927499,2.0,-1,1,eligible
0.2,ELIGIBLE,318.0,54.0,healthcare,B,5.876418945554458,1.0,-1,1,eligible
0.2,ELIGIBLE,320.0,82.0,other,A,10.0,1.0,-1,1,eligible
0.2,ELIGIBLE,321.0,60.0,healthcare,B,7.0085888690764255,1.0,-1,1,eligible
0.2,ELIGIBLE,324.0,71.0,other,A,7.2756745393076425,2.0,-1,1,eligible
0.2,ELIGIBLE,325.0,31.0,healthcare,B,4.587530671850331,3.0,-1,1,eligible
0.2,ELIGIBLE,326.0,57.0,healthcare,B,5.995667197131987,3.0,-1,1,eligible
0.2,ELIGIBLE,327.0,23.0,teacher,C,8.311044375922059,1.0,-1,1,eligible
0.2,ELIGIBLE,328.0,69.0,other,A,9.974747814619706,2.0,-1,1,eligible
0.2,ELIGIBLE,332.0,53.0,teacher,C,5.277576744624671,1.0,-1,1,eligible
0.2,ELIGIBLE,334.0,83.0,other,A,7.89560289124619,2.0,-1,1,eligible
0.2,ELIGIBLE,337.0,47.0,teacher,C,4.425759549903109,2.0,-1,1,eligible
0.2,ELIGIBLE,338.0,44.0,healthcare,B,6.942729974588557,1.0,-1,1,eligible
0.2,ELIGIBLE,339.0,74.0,other,A,9.190128730579245,2.0,-1,1,eligible
0.2,ELIGIBLE,340.0,37.0,teacher,C,6.033661198264747,1.0,-1,1,eligible
0.2,ELIGIBLE,341.0,37.0,teacher,C,6.001375168380962,1.0,-1,1,eligible
0.2,ELIGIBLE,342.0,76.0,other,A,10.0,2.0,-1,1,eligible
0.2,ELIGIBLE,343.0,31.0,teacher,C,4.693070594392675,1.0,-1,1,eligible
0.2,ELIGIBLE,344.0,70.0,other,A,9.466738881982053,1.0,-1,1,eligible
0.2,ELIGIBLE,345.0,70.0,other,A,9.085046162769524,3.0,-1,1,eligible
0.2,ELIGIBLE,347.0,66.0,other,A,8.434503121316338,2.0,-1,1,eligible
0.2,ELIGIBLE,350.0,40.0,teacher,C,6.848439763431412,1.0,-1,1,eligible
0.2,ELIGIBLE,351.0,30.0,teacher,C,5.54841824276431,2.0,-1,1,eligible
0.2,ELIGIBLE,352.0,27.0,healthcare,B,7.4615362260412965,1.0,-1,1,eligible
0.2,ELIGIBLE,353.0,71.0,other,A,7.514171385336904,2.0,-1,1,eligible
0.2,ELIGIBLE,354.0,71.0,other,A,9.094334697647904,3.0,-1,1,eligible
0.2,ELIGIBLE,355.0,72.0,other,A,8.082807423650527,2.0,-1,1,eligible
0.2,ELIGIBLE,357.0,67.0,other,A,6.96363123689606,2.0,-1,1,eligible
0.2,ELIGIBLE,359.0,50.0,healthcare,B,6.7032659666545475,3.0,-1,1,eligible
0.2,ELIGIBLE,360.0,45.0,healthcare,B,5.674511849433195,1.0,-1,1,eligible
0.2,ELIGIBLE,361.0,65.0,other,A,10.0,2.0,-1,1,eligible
0.2,ELIGIBLE,362.0,47.0,teacher,C,5.0671955166754215,1.0,-1,1,eligible
0.2,ELIGIBLE,364.0,80.0,other,A,7.966539302851831,2.0,-1,1,eligible
0.2,ELIGIBLE,366.0,31.0,healthcare,B,4.825123996966905,1.0,-1,1,eligible
0.2,ELIGIBLE,367.0,66.0,other,A,8.74794909544637,1.0,-1,1,eligible
0.2,ELIGIBLE,368.0,53.0,healthcare,B,6.911142231630564,1.0,-1,1,eligible
0.2,ELIGIBLE,369.0,22.0,teacher,C,6.267713401599886,2.0,-1,1,eligible
0.2,ELIGIBLE,371.0,27.0,healthcare,B,6.3464066666671695,3.0,-1,1,eligible
0.2,ELIGIBLE,373.0,32.0,teacher,C,4.581249589746341,1.0,-1,1,eligible
0.2,ELIGIBLE,374.0,49.0,teacher,C,8.206305454020285,1.0,-1,1,eligible
0.2,ELIGIBLE,376.0,32.0,teacher,C,6.291947933251575,2.0,-1,1,eligible
0.2,ELIGIBLE,377.0,39.0,healthcare,B,8.84241215164398,1.0,-1,1,eligible
0.2,ELIGIBLE,379.0,67.0,other,A,8.810920052053163,1.0,-1,1,eligible
0.2,ELIGIBLE,380.0,69.0,other,A,9.047746752784443,2.0,-1,1,eligible
0.2,ELIGIBLE,382.0,39.0,teacher,C,6.793503105909192,1.0,-1,1,eligible
0.2,ELIGIBLE,385.0,77.0,other,A,7.457444742360145,2.0,-1,1,eligible
0.2,ELIGIBLE,386.0,42.0,healthcare,B,7.265523694565803,1.0,-1,1,eligible
0.2,ELIGIBLE,387.0,52.0,teacher,C,5.88283031709887,1.0,-1,1,eligible
0.2,ELIGIBLE,388.0,50.0,teacher,C,5.7400109592787105,3.0,-1,1,eligible
0.2,ELIGIBLE,389.0,69.0,other,A,10.0,3.0,-1,1,eligible
0.2,ELIGIBLE,392.0,33.0,teacher,C,6.736969704111189,2.0,-1,1,eligible
0.2,ELIGIBLE,393.0,42.0,healthcare,B,8.057345321238362,3.0,-1,1,eligible
0.2,ELIGIBLE,395.0,41.0,healthcare,B,6.112328796134481,3.0,-1,1,eligible
0.2,ELIGIBLE,396.0,65.0,other,A,7.346948147864016,3.0,-1,1,eligible
0.2,ELIGIBLE,397.0,39.0,healthcare,B,6.346733302454263,1.0,-1,1,eligible
0.2,ELIGIBLE,398.0,83.0,other,A,10.0,2.0,-1,1,eligible
0.2,ELIGIBLE,399.0,40.0,teacher,C,7.2686646118236435,1.0,-1,1,eligible
0.2,ELIGIBLE,400.0,61.0,healthcare,B,6.8156520712484845,3.0,-1,1,eligible
0.2,ELIGIBLE,403.0,75.0,other,A,9.294745297199228,3.0,-1,1,eligible
0.2,ELIGIBLE,404.0,22.0,teacher,C,4.770696116757122,2.0,-1,1,eligible
0.2,ELIGIBLE,407.0,54.0,healthcare,B,6.526228821206821,1.0,-1,1,eligible
0.2,ELIGIBLE,409.0,66.0,other,A,7.570380582074462,1.0,-1,1,eligible
0.2,ELIGIBLE,411.0,68.0,other,A,9.857155445163546,2.0,-1,1,eligible
0.2,ELIGIBLE,412.0,29.0,teacher,C,5.252095662692087,1.0,-1,1,eligible
0.2,ELIGIBLE,413.0,39.0,teacher,C,4.608236256612195,1.0,-1,1,eligible
0.2,ELIGIBLE,414.0,39.0,healthcare,B,5.929441175738074,1.0,-1,1,eligible
0.2,ELIGIBLE,418.0,54.0,healthcare,B,2.335349060275495,1.0,-1,1,eligible
0.2,ELIGIBLE,420.0,38.0,healthcare,B,7.116834306367669,3.0,-1,1,eligible
0.2,ELIGIBLE,421.0,75.0,other,A,8.90405770856241,1.0,-1,1,eligible
